Tarih,VefatSayisi2020,VefatSayisi2019,VefatSayisi2018,VefatSayisi2017
01.01,100,100,100,100
02.01,100,100,100,100
03.01,100,100,100,100
04.01,100,100,100,100
05.01,100,100,100,100
06.01,100,100,100,100
07.01,100,100,100,100
08.01,100,100,100,100
09.01,100,100,100,100
10.01,100,100,100,100
11.01,100,100,100,100
12.01,100,100,100,100
13.01,100,100,100,100
14.01,100,100,100,100
15.01,100,100,100,100
16.01,100,100,100,100
17.01,100,100,100,100
18.01,100,100,100,100
19.01,100,100,100,100
20.01,100,100,100,100
21.01,100,100,100,100
22.01,100,100,100,100
23.01,100,100,100,100
24.01,100,100,100,100
25.01,100,100,100,100
26.01,100,100,100,100
27.01,100,100,100,100
28.01,100,100,100,100
29.01,100,100,100,100
30.01,100,100,100,100
31.01,100,100,100,100
01.02,100,100,100,100
02.02,100,100,100,100
03.02,100,100,100,100
04.02,100,100,100,100
05.02,100,100,100,100
06.02,100,100,100,100
07.02,100,100,100,100
08.02,100,100,100,100